(u'CN=nogae.in.corp.censys.io', u'9c6b74e6c8d459349e884c8ecd5ea03b04e8d652a9afc7ddc1e0f82d1f22daa6', u'2019-02-27T13:07:35Z', u'2019-02-27T13:07:35Z')
(u'CN=daapi.in.corp.censys.io', u'15e349488508265dc0ed1e9394eb7b4e7432b28a6172f1fc5304ff286baa85b3', u'2019-01-12T19:58:26Z', u'2019-01-12T19:58:26Z')
(u'CN=data-01.censys.io', u'698312493b6752dbda7ae3bf1e37e554245708db4addbaaa6acb97356eb38849', u'2019-01-10T13:54:05Z', u'2019-01-10T13:54:05Z')
(u'CN=prometheus.in.corp.censys.io', u'4bbf919c58f03c5dfe69aa1790313600ffd3f58c193a24ce9bf78da947a2d481', u'2019-03-04T15:28:26Z', u'2019-03-04T15:28:26Z')
(u'CN=support-proxy.in.corp.censys.io', u'93e6e3a44fb87d176397e5dab76c430db567773e76850b45f16b1ddc0c5d8f0c', u'2019-01-11T12:01:35Z', u'2019-01-11T12:01:35Z')
(u'CN=prometheus.in.corp.censys.io', u'46831113e675e4a7a0e090e054d26dba256107d8bcece0102be3036daa7f6d22', u'2019-03-04T15:28:26Z', u'2019-03-04T15:28:26Z')
(u'CN=daapi.in.corp.censys.io', u'888f1b97b940db9724d35a86376195b696c7df107664e53a46f1aa0f459d20ae', u'2019-01-12T19:58:26Z', u'2019-01-12T19:58:26Z')
(u'CN=alertmanager.in.corp.censys.io', u'20f8111974b9fc6a24881bd9e8bbab8570f6f4d71fa6fa60d1c4df4ebdcb4008', u'2019-01-03T16:26:20Z', u'2019-01-03T16:26:20Z')
(u'CN=es-frontend-02.sfj.corp.censys.io', u'edd058376d4bdddc6bbc78e991200ab1457412b5ad268c7d696786bea24cb5e5', u'2019-01-14T04:10:58Z', u'2019-01-14T04:10:58Z')
(u'CN=deployinator.in.corp.censys.io', u'26a615e16a8737fd3274a8b8487d6699796591fcbdf97b037ce33030ba2fb820', u'2019-02-27T10:23:43Z', u'2019-02-27T10:23:43Z')
(u'CN=support-proxy.in.corp.censys.io', u'93769bbf63d4695e9813757c91e5601bac08fa433e5a17a6e6db962683f767d2', u'2019-01-11T12:01:42Z', u'2019-01-11T12:01:42Z')
(u'CN=es-frontend-02.sfj.corp.censys.io', u'b52ea86ed35fdb323db58dee7ef26f4b143ebc0d4ee3a413583e102e9706e5bb', u'2019-01-14T04:10:58Z', u'2019-01-14T04:10:58Z')
(u'CN=nogae.in.corp.censys.io', u'55f6ea51ac1f135f2196dada763fe2eb1042ceed89dca9db03d7bff3e00689f4', u'2018-12-29T14:05:32Z', u'2018-12-29T14:05:32Z')
(u'CN=grafana.in.corp.censys.io', u'c882fef3bdb5d6f765d65dddc445f043b21ab1d8d2c36fc50c8c62e4be1fa19e', u'2018-12-26T23:28:46Z', u'2018-12-26T23:28:46Z')
(u'CN=deployinator.in.corp.censys.io', u'06c77510673613d7e4cb59f962625d7345c46450e5acc25b95839c562a74c6b2', u'2019-02-27T10:23:43Z', u'2019-02-27T10:23:43Z')
(u'CN=grafana.in.corp.censys.io', u'56a526b38c74ae41cc1866352f9260399143f28c56a1571444b1741c1d94ee4a', u'2018-12-26T23:28:46Z', u'2018-12-26T23:28:46Z')
(u'CN=alertmanager.in.corp.censys.io', u'5dfff97ef970a7a8e119f1938ff5044d231fae402581641553257794b7f71451', u'2019-03-04T15:28:17Z', u'2019-03-04T15:28:17Z')
(u'CN=kibana.es-frontend-02.sfj.corp.censys.io', u'6a2ac5ce95863a1c40be5df27e93fda9a75f7b1158559fc04c7c16409d67fbca', u'2019-01-14T04:10:55Z', u'2019-01-14T04:10:55Z')
(u'CN=kibana.es-frontend-01.sfj.corp.censys.io', u'aeeffc3ac11847545ae1cdaf6d96ea2faa67083899d01205cc998908b5478ad3', u'2019-01-14T04:10:57Z', u'2019-01-14T04:10:57Z')
(u'CN=scheduler.sfj.corp.censys.io', u'65f80030ea8d321fed93a646e44f2810f4fbf63c606f16a6f37ecc2f438a7fd3', u'2019-02-08T04:42:48Z', u'2019-02-08T04:42:48Z')
(u'CN=scheduler.sfj.corp.censys.io', u'06aa7c18d8cf4b07c58c75e7118f4bba1f678a9223dfa1d19c78c95fd7231a2e', u'2019-02-08T04:42:48Z', u'2019-02-08T04:42:48Z')
(u'CN=kibana.es-frontend-01.sfj.corp.censys.io', u'6dbd4a0dc55debbd924fef9f702cf122f30412e376870b9d92462d2bb01c95fb', u'2019-01-14T04:10:57Z', u'2019-01-14T04:10:57Z')
(u'CN=kibana.es-frontend-02.sfj.corp.censys.io', u'dd84fdf9b1ec9bf72a5a673d38db31331db73e8923dcec559be51018f763e060', u'2019-01-14T04:10:55Z', u'2019-01-14T04:10:55Z')
